TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,BonusPoints,PaymentType
550,1/6/2024,1008,102,404,0,39.1,40,ACH
551,1/6/2024,1009,105,403,0,19.78,60,Check
552,1/16/2024,1004,107,404,0,335.1,60,Check
553,1/16/2024,1006,102,406,0,195.5,100,Check
554,1/25/2024,1005,102,405,0,117.3,100,Check
555,1/25/2024,1001,101,401,0,2379.36,100,ACH
556,1/29/2024,1009,104,403,0,172.4,60,ACH
557,1/29/2024,1010,101,402,0,3172.48,60,Check
558,2/6/2024,1002,102,402,0,312.8,60,Check
559,2/6/2024,1001,106,401,0,622.86,60,Check
560,2/6/2024,1010,101,402,0,6344.96,60,Check
561,2/6/2024,1005,107,405,0,469.14,40,ACH
562,2/8/2024,1003,108,403,0,12.56,40,ACH
563,2/8/2024,1006,107,406,0,67.02,40,ACH
564,2/9/2024,1009,107,403,0,469.14,50,ACH
565,2/9/2024,1002,105,402,0,138.46,50,
566,2/24/2024,1007,103,405,0,204.84,60,
567,2/24/2024,1007,106,405,0,444.9,60,
568,2/24/2024,1011,107,401,0,603.18,60,ACH
569,2/24/2024,1010,101,402,0,3965.6,60,ACH
570,2/27/2024,1010,107,402,0,402.12,50,ACH
571,2/27/2024,1011,106,401,0,533.88,50,ACH
572,3/20/2024,1005,105,405,0,178.02,50,Check
573,3/20/2024,1001,101,401,0,7138.08,50,ACH
574,3/25/2024,1006,101,406,0,4758.72,50,ACH
575,3/25/2024,1001,108,401,0,75.36,50,Check
576,4/7/2024,1001,108,401,0,113.04,50,Check
577,4/7/2024,1005,104,405,0,387.9,100,Check
578,4/10/2024,1006,106,406,0,800.82,100,Check
579,4/10/2024,1008,106,404,0,800.82,100,Check
580,4/11/2024,1004,103,404,0,22.76,50,ACH
581,4/11/2024,1009,101,403,0,793.12,50,ACH
582,4/19/2024,1001,101,401,0,6344.96,50,Check
583,4/19/2024,1009,102,403,0,312.8,50,ACH
584,4/27/2024,1007,101,405,0,7138.08,40,ACH
585,4/27/2024,1002,108,402,0,113.04,60,ACH
586,4/30/2024,1001,105,401,0,39.56,60,ACH
587,4/30/2024,1007,102,405,0,78.2,60,Check
588,5/2/2024,1002,102,402,0,117.3,50,Check
589,5/2/2024,1007,102,405,0,117.3,50,Check
590,5/8/2024,1005,107,405,1,603.18,100,Check
591,5/8/2024,1004,101,404,1,7138.08,100,ACH
592,5/17/2024,1006,107,406,1,670.2,100,ACH
593,5/17/2024,1008,104,404,1,431,40,ACH
594,5/19/2024,1003,101,403,1,1586.24,40,ACH
595,5/19/2024,1006,108,406,1,25.12,40,Check
596,5/29/2024,1011,105,401,0,98.9,50,Check
597,5/29/2024,1008,102,404,0,195.5,50,Check
598,6/6/2024,1001,104,401,0,387.9,100,Check
599,6/6/2024,1004,102,404,0,351.9,100,ACH
600,6/12/2024,1010,103,402,0,182.08,50,ACH
601,6/12/2024,1005,106,405,0,711.84,50,ACH
602,6/17/2024,1007,101,405,0,2379.36,50,ACH
603,6/17/2024,1006,101,406,0,2379.36,50,ACH
604,6/20/2024,1009,102,403,0,39.1,60,ACH
605,6/20/2024,1002,108,402,0,12.56,60,Check
606,7/2/2024,1005,105,405,0,79.12,60,Check
607,7/2/2024,1011,108,401,0,50.24,50,Check
608,7/4/2024,1003,102,403,0,39.1,50,ACH
609,7/4/2024,1004,101,404,0,3965.6,50,ACH
610,7/4/2024,1010,106,402,0,88.98,50,ACH
611,7/4/2024,1006,102,406,0,195.5,100,Check
612,7/7/2024,1003,104,403,2,258.6,100,Check
613,7/7/2024,1003,104,403,2,258.6,,Check
614,7/15/2024,1011,101,401,2,7138.08,,Check
615,7/15/2024,1010,104,402,2,387.9,,Check
616,7/17/2024,1001,107,401,2,134.04,,Check
617,7/17/2024,1003,107,403,2,134.04,,ACH
618,7/21/2024,1001,104,401,2,172.4,,ACH
619,7/21/2024,1008,105,404,2,79.12,,ACH
620,7/25/2024,1007,108,405,0,125.6,,Check
621,7/25/2024,1010,101,402,0,7931.2,40,Check
622,8/1/2024,1003,108,403,0,100.48,40,Check
623,8/1/2024,1002,107,402,0,536.16,40,Check
624,8/2/2024,1011,108,401,0,125.6,50,Check
625,8/2/2024,1002,108,402,0,125.6,50,ACH
626,8/5/2024,1003,108,403,0,37.68,50,ACH
627,8/5/2024,1006,104,406,0,129.3,50,ACH
628,8/14/2024,1011,107,401,0,201.06,100,ACH
629,8/14/2024,1006,101,406,0,2379.36,100,Check
630,8/21/2024,1007,104,405,0,172.4,50,Check
631,8/21/2024,1002,107,402,0,268.08,100,Check
632,8/25/2024,1006,108,406,0,75.36,50,ACH
633,8/25/2024,1002,104,402,0,258.6,60,ACH
634,8/28/2024,1006,105,406,0,39.56,60,ACH
635,8/28/2024,1005,106,405,0,177.96,60,ACH
636,9/5/2024,1005,107,405,3,1072.32,50,ACH
637,9/5/2024,1007,107,405,3,1072.32,50,ACH
638,9/22/2024,1001,101,401,3,6344.96,40,Check
639,9/22/2024,1007,104,405,3,689.6,40,Check
640,9/30/2024,1005,107,405,3,268.08,40,Check
641,9/30/2024,1010,103,402,3,45.52,100,ACH
642,10/10/2024,1002,101,402,0,5551.84,100,ACH
643,10/10/2024,1010,104,402,0,301.7,100,ACH
